ID_event,granule_couple,coordinates,sensing_time,detector_number,N_v,N_h,N_eff
Poas_NE_20,"[1, 3]",[ 10.34832148 -84.32639942],07/11/2016 16:10,3,-174,-13,174.4849564
Poas_NE_20,"[2, 4]",[ 10.03609973 -84.17112703],07/11/2016 16:10,4,182,-14,182.5376673
Poas_NE_20,"[3, 5]",[ 10.13423248 -84.37421808],07/11/2016 16:10,3,-173,-13,173.4877517
Raung_NE_10,"[0, 2]",[ -8.13138381 114.0938475 ],10/07/2019 02:50,8,185,-1,185.0027027
Raung_NE_10,"[1, 3]",[ -8.02671017 113.89463423],10/07/2019 02:50,7,-170,-1,170.0029412
Raung_NE_11,"[0, 1]",[ -7.92515529 114.13927732],20/07/2019 02:50,8,185,-1,185.0027027
Raung_NE_11,"[1, 3]",[ -8.13902794 114.09175514],20/07/2019 02:50,8,185,-1,185.0027027
Raung_NE_11,"[2, 4]",[ -8.03423327 113.89237885],20/07/2019 02:50,7,-170,-1,170.0029412
Raung_NE_12,"[0, 2]",[ -8.11993402 114.09663845],25/07/2019 02:50,8,184,-11,184.3285111
Raung_NE_12,"[1, 3]",[ -8.01469187 113.89740866],25/07/2019 02:50,7,-173,-12,173.4156856
Telica_NE_00,"[0, 1]",[ 12.62186973 -86.79730594],16/08/2020 16:20,1,-174,-2,174.0114939
Telica_NE_00,"[1, 2]",[ 12.40783911 -86.84487145],16/08/2020 16:20,1,-174,-2,174.0114939
Telica_NE_01,"[0, 1]",[ 12.64288439 -86.79477101],05/09/2020 16:20,1,-174,-2,174.0114939
Telica_NE_01,"[1, 2]",[ 12.4289501  -86.84242181],05/09/2020 16:20,1,-174,-2,174.0114939
Ulawun_NE_20,"[0, 1]",[ -4.96996214 151.22429521],14/08/2018 00:18,2,185,-17,185.7794391
Ulawun_NE_20,"[1, 3]",[ -5.18391609 151.17709202],14/08/2018 00:18,2,185,-17,185.7794391
Ulawun_NE_20,"[2, 4]",[ -4.95295919 151.45780886],14/08/2018 00:18,3,-174,-13,174.4849564
Ulawun_NE_20,"[4, 5]",[ -5.16705046 151.4102505 ],14/08/2018 00:18,3,-174,-13,174.4849564
