ID_event,granule_couple,coordinates,sensing_time,detector_number,N_v,N_h,N_eff,
Piton_de_la_Fournaise_01,"[1, 2]",[-21.37733188  55.66887883],06/01/2022 06:35,8,-29,0,29,
,,,,,,,,
Piton_de_la_Fournaise_02,"[0, 1]",[-21.22000477  55.71203741],16/01/2022 06:35,8,-29,0,29,
,,,,,,,,
Piton_de_la_Fournaise_02,"[1, 2]",[-21.43289723  55.6605763 ],16/01/2022 06:35,8,-29,-1,29.017237,
,,,,,,,,
Piton_de_la_Fournaise_10,"[0, 1]",[-21.15977128  55.73663995],16/04/2021 06:35,8,-29,-1,29.017237,
,,,,,,,,
Piton_de_la_Fournaise_10,"[1, 2]",[-21.37271282  55.68512476],16/04/2021 06:35,8,-29,-1,29.017237,
,,,,,,,,
Piton_de_la_Fournaise_12,"[4, 0]",[-21.38901503  55.6694776 ],11/05/2021 06:35,8,-29,0,29,
,,,,,,,,
Piton_de_la_Fournaise_12,"[3, 4]",[-21.17589696  55.72091337],11/05/2021 06:35,8,-29,-1,29.017237,
,,,,,,,,
Piton_de_la_Fournaise_12,"[4, 5]",[-21.38901515  55.66947756],11/05/2021 06:35,8,-29,0,29,
,,,,,,,,
Piton_de_la_Fournaise_30,"[0, 1]",[-21.20206693  55.72219633],11/02/2020 06:35,8,-29,0,29,
,,,,,,,,
Piton_de_la_Fournaise_30,"[1, 2]",[-21.41513498  55.67066693],11/02/2020 06:35,8,-29,0,29,
,,,,,,,,
Piton_de_la_Fournaise_31,"[0, 1]",[-21.20117871  55.71554357],06/04/2020 06:35,8,-29,0,29,
,,,,,,,,
Piton_de_la_Fournaise_31,"[1, 2]",[-21.41445917  55.66422128],06/04/2020 06:35,8,-29,0,29,
,,,,,,,,
Piton_de_la_Fournaise_32,"[0, 1]",[-21.18916147  55.72399576],07/12/2020 06:35,8,-29,0,29,
,,,,,,,,
Piton_de_la_Fournaise_32,"[1, 2]",[-21.40233878  55.67260096],07/12/2020 06:35,8,-29,0,29,
,,,,,,,,
Poas_10,"[0, 2]",[ 10.24315557 -84.11893978],22/03/2019 16:10,4,-29,0,29,
,,,,,,,,
Poas_10,"[1, 3]",[ 10.34130049 -84.32160802],22/03/2019 16:10,3,28,0,28,
,,,,,,,,
Poas_10,"[2, 4]",[ 10.02919537 -84.16632734],22/03/2019 16:10,4,-29,1,29.017237,
,,,,,,,,
Poas_10,"[3, 5]",[ 10.1272852  -84.36933671],22/03/2019 16:10,3,28,0,28,
,,,,,,,,
Poas_11,"[0, 2]",[ 10.27732413 -84.11491882],01/04/2019 16:10,4,-29,-1,29.017237,
,,,,,,,,
Poas_11,"[1, 3]",[ 10.37541491 -84.31757304],01/04/2019 16:10,3,28,0,28,
,,,,,,,,
Poas_11,"[2, 4]",[ 10.06326909 -84.16261163],01/04/2019 16:10,4,-29,1,29.017237,
,,,,,,,,
Poas_11,"[3, 5]",[ 10.16140729 -84.36516491],01/04/2019 16:10,3,28,0,28,
,,,,,,,,
Poas_21,"[0, 2]",[ 10.25756756 -84.10648888],25/06/2017 16:10,4,-29,1,29.017237,
,,,,,,,,
Poas_21,"[1, 3]",[ 10.3558478  -84.30906139],25/06/2017 16:10,3,28,0,28,
,,,,,,,,
Poas_21,"[2, 4]",[ 10.04358543 -84.15390565],25/06/2017 16:10,4,-29,1,29.017237,
,,,,,,,,
Poas_21,"[3, 5]",[ 10.14196394 -84.35662409],25/06/2017 16:10,3,28,0,28,
,,,,,,,,
Raung_10,"[0, 2]",[ -8.11818979 114.10203548],19/07/2020 02:50,8,-29,0,29,
,,,,,,,,
Raung_10,"[1, 3]",[ -8.01333995 113.90304225],19/07/2020 02:50,7,28,0,28,
,,,,,,,,
Raung_10,"[2, 4]",[ -8.33224975 114.05457591],19/07/2020 02:50,8,-29,0,29,
,,,,,,,,
Raung_11,"[0, 2]",[ -8.11395539 114.11317185],24/07/2020 02:50,8,-29,0,29,
,,,,,,,,
Raung_11,"[1, 3]",[ -8.00937129 113.91417124],24/07/2020 02:50,7,28,0,28,
,,,,,,,,
Raung_11,"[2, 4]",[ -8.32797797 114.06569552],24/07/2020 02:50,8,-29,0,29,
,,,,,,,,
Raung_12,"[0, 1]",[ -7.92321204 114.14302665],29/07/2020 02:50,8,-29,-1,29.017237,
,,,,,,,,
Raung_12,"[1, 3]",[ -8.13700409 114.09548975],29/07/2020 02:50,8,-29,0,29,
,,,,,,,,
Raung_12,"[2, 4]",[ -8.03199286 113.89632649],29/07/2020 02:50,7,28,0,28,
,,,,,,,,
San_Miguel_10,"[1, 2]",[ 13.41437674 -88.22171287],06/02/2018 16:29,5,28,0,28,
,,,,,,,,
San_Miguel_10,"[2, 3]",[ 13.2003348 -88.2703746],06/02/2018 16:29,5,28,0,28,
,,,,,,,,
San_Miguel_11,"[0, 1]",[ 13.43302315 -88.44667734],16/02/2018 16:29,4,-29,0,29,
,,,,,,,,
San_Miguel_11,"[2, 3]",[ 13.4449557  -88.21570226],16/02/2018 16:29,5,28,0,28,
,,,,,,,,
San_Miguel_11,"[3, 4]",[ 13.23104414 -88.26448342],16/02/2018 16:29,5,28,-1,28.01785,
,,,,,,,,
San_Miguel_12,"[0, 1]",[ 13.5605735  -88.41829545],08/03/2018 16:29,4,-29,1,29.017237,
,,,,,,,,
San_Miguel_12,"[2, 3]",[ 13.57280345 -88.18714711],08/03/2018 16:29,5,28,0,28,
,,,,,,,,
San_Miguel_12,"[3, 4]",[ 13.3589961  -88.23562798],08/03/2018 16:29,5,28,0,28,
,,,,,,,,
Sangay_00,"[4, 0]",[ -2.17019346 -78.42923517],17/05/2019 15:43,8,-29,-1,29.017237,
,,,,,,,,
Sangay_00,"[1, 2]",[ -2.16482792 -78.20774196],17/05/2019 15:43,9,28,0,28,
,,,,,,,,
Sangay_00,"[6, 2]",[ -2.1648317  -78.20774285],17/05/2019 15:43,9,28,0,28,
,,,,,,,,
Sangay_00,"[3, 4]",[ -1.95627926 -78.3821054 ],17/05/2019 15:43,8,-29,0,29,
,,,,,,,,
Sangay_00,"[4, 5]",[ -2.17019722 -78.42923604],17/05/2019 15:43,8,-29,-1,29.017237,
,,,,,,,,
Sangay_00,"[6, 7]",[ -2.16483545 -78.20774355],17/05/2019 15:43,9,28,0,28,
,,,,,,,,
Sangay_01,"[0, 1]",[ -1.96515802 -78.38601564],05/07/2021 15:43,8,-29,0,29,
,,,,,,,,
Sangay_01,"[1, 2]",[ -2.17903341 -78.43308359],05/07/2021 15:43,8,-29,0,29,
,,,,,,,,
Sangay_01,"[3, 4]",[ -2.17376167 -78.21141915],05/07/2021 15:43,9,28,0,28,
,,,,,,,,
Sangay_10,"[0, 1]",[ -1.96108206 -78.36887646],25/08/2018 15:43,8,-29,0,29,
,,,,,,,,
Sangay_10,"[1, 2]",[ -2.17525365 -78.41589911],25/08/2018 15:43,8,-29,0,29,
,,,,,,,,
Sangay_10,"[3, 4]",[ -2.17021532 -78.19432073],25/08/2018 15:43,9,28,0,28,
,,,,,,,,
Sangay_11,"[0, 1]",[ -1.97046566 -78.39192652],29/10/2018 15:43,8,-28,0,28,
,,,,,,,,
Sangay_11,"[1, 3]",[ -2.18455948 -78.43883932],29/10/2018 15:43,8,-28,0,28,
,,,,,,,,
Sangay_11,"[2, 4]",[ -1.96535533 -78.17036183],29/10/2018 15:43,9,28,0,28,
,,,,,,,,
Sangay_11,"[4, 5]",[ -2.17923411 -78.21710115],29/10/2018 15:43,9,28,0,28,
,,,,,,,,
Sangay_12,"[0, 1]",[ -1.96954722 -78.39558162],13/11/2018 15:43,8,-29,0,29,
,,,,,,,,
Sangay_12,"[1, 3]",[ -2.18377073 -78.44261762],13/11/2018 15:43,8,-29,0,29,
,,,,,,,,
Sangay_12,"[2, 4]",[ -1.96471855 -78.17425215],13/11/2018 15:43,9,28,0,28,
,,,,,,,,
Sangay_12,"[4, 5]",[ -2.17881614 -78.22108722],13/11/2018 15:43,9,28,0,28,
,,,,,,,,
Sangay_31,"[0, 1]",[ -1.95561593 -78.37545828],19/09/2017 15:43,8,-29,0,29,
,,,,,,,,
Sangay_31,"[1, 2]",[ -2.16956404 -78.42242787],19/09/2017 15:43,8,-29,0,29,
,,,,,,,,
Sangay_31,"[3, 4]",[ -2.16443411 -78.20079947],19/09/2017 15:43,9,28,0,28,
,,,,,,,,
Santa_Maria_00,"[0, 1]",[ 14.75130148 -91.590998  ],16/02/2021 16:49,11,28,0,28,
,,,,,,,,
Santa_Maria_00,"[1, 2]",[ 14.5374246 -91.6410955],16/02/2021 16:49,11,28,0,28,
,,,,,,,,
Soputan_10,"[0, 1]",[  1.24327508 124.90207689],11/10/2018 02:07,2,-29,1,29.017237,
,,,,,,,,
Soputan_10,"[1, 3]",[  1.02911404 124.85540351],11/10/2018 02:07,2,-29,1,29.017237,
,,,,,,,,
Soputan_10,"[2, 4]",[  1.12836675 124.64948512],11/10/2018 02:07,1,28,0,28,
,,,,,,,,
Stromboli_01,"[0, 2]",[38.95355265 15.20141768],07/07/2019 09:59,9,28,0,28,
,,,,,,,,
Stromboli_01,"[1, 3]",[38.62415273 15.38286193],07/07/2019 09:59,10,-29,-1,29.017237,
,,,,,,,,
Stromboli_01,"[2, 4]",[38.74207284 15.13158072],07/07/2019 10:00,9,28,0,28,
,,,,,,,,
Stromboli_02,"[0, 2]",[38.94867134 15.20758032],08/01/2019 09:59,9,28,0,28,
,,,,,,,,
Stromboli_02,"[2, 4]",[38.73741749 15.1379995 ],08/01/2019 09:59,9,28,0,28,
,,,,,,,,
Telica_00,"[0, 1]",[ 12.66021284 -86.7922126 ],26/08/2021 16:20,1,29,0,29,
,,,,,,,,
Telica_00,"[1, 2]",[ 12.44641474 -86.83992403],26/08/2021 16:20,1,28,0,28,
,,,,,,,,
Telica_01,"[0, 1]",[ 12.64646889 -86.79446645],05/09/2021 16:19,1,28,0,28,
,,,,,,,,
Telica_01,"[1, 2]",[ 12.43266631 -86.84205428],05/09/2021 16:20,1,28,0,28,
,,,,,,,,
Telica_02,"[0, 1]",[ 12.73286713 -86.77501392],20/09/2021 16:19,1,28,0,28,
,,,,,,,,
Telica_02,"[1, 2]",[ 12.51905731 -86.82276726],20/09/2021 16:19,1,29,0,29,
,,,,,,,,
Telica_10,"[0, 1]",[ 12.66084815 -86.7959363 ],01/08/2020 16:20,1,28,0,28,
,,,,,,,,
Telica_10,"[1, 2]",[ 12.44681265 -86.84362275],01/08/2020 16:20,1,28,0,28,
,,,,,,,,
Tinakula_01,"[0, 1]",[-10.23218412 165.81831049],28/10/2021 23:19,5,28,0,28,
,,,,,,,,
Tinakula_01,"[1, 2]",[-10.44608805 165.76990297],28/10/2021 23:19,5,28,0,28,
,,,,,,,,
Tinakula_02,"[0, 1]",[-10.22186893 165.82589068],22/12/2021 23:19,5,28,0,28,
,,,,,,,,
Tinakula_02,"[1, 2]",[-10.43557602 165.7775    ],22/12/2021 23:19,5,28,0,28,
,,,,,,,,
Ulawun_10,"[0, 1]",[ -4.99081379 151.2197789 ],09/07/2021 00:18,2,-29,1,29.017237,
,,,,,,,,
Ulawun_10,"[1, 3]",[ -5.20479819 151.17256248],09/07/2021 00:18,2,-29,1,29.017237,
,,,,,,,,
Ulawun_10,"[2, 4]",[ -4.97387257 151.45338067],09/07/2021 00:18,3,28,0,28,
,,,,,,,,
Ulawun_10,"[4, 5]",[ -5.1876494  151.40542014],09/07/2021 00:18,3,28,0,28,
,,,,,,,,
Ulawun_20,"[0, 1]",[ -5.00821116 151.21427628],14/08/2019 00:18,2,-29,1,29.017237,
,,,,,,,,
Ulawun_20,"[1, 3]",[ -5.22208568 151.1671049 ],14/08/2019 00:18,2,-29,1,29.017237,
,,,,,,,,
Ulawun_20,"[2, 4]",[ -4.99125892 151.44771209],14/08/2019 00:18,3,28,0,28,
,,,,,,,,
Ulawun_20,"[4, 5]",[ -5.20503122 151.39980566],14/08/2019 00:18,3,28,0,28,
,,,,,,,,
Ulawun_21,"[0, 1]",[ -5.0020473  151.22377205],03/10/2019 00:18,2,-29,1,29.017237,
,,,,,,,,
Ulawun_21,"[1, 3]",[ -5.21587761 151.17648025],03/10/2019 00:18,2,-29,1,29.017237,
,,,,,,,,
Ulawun_21,"[2, 4]",[ -4.9850616  151.45706983],03/10/2019 00:18,3,28,0,28,
,,,,,,,,
Ulawun_21,"[4, 5]",[ -5.19875491 151.40914413],03/10/2019 00:18,3,28,0,28,
,,,,,,,,
Tinakula_00,"[0, 1]",[-10.26439886 165.81768571],02/01/2019 23:19,5,28,0,28,
